test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.5588,1,True,1,True,False,False,RePU,500,0.0008,0.0001,0.0006,0.0009,0.0033,128
.5553,1,True,1,True,False,False,RePU,500,0.0008,5e-05,0.0006,0.0009,0.0033,128
0.5552,1,True,1,True,False,False,RePU,500,0.0008,8e-05,0.0006,0.0009,0.0033,128
0.5567,1,True,1,True,False,False,RePU,500,0.0008,7e-05,0.0006,0.0009,0.0033,128
0.5497,1,True,1,True,False,False,RePU,500,0.0008,4e-05,0.0006,0.0009,0.0033,128
0.5502,1,True,1,True,False,False,RePU,500,0.0008,1e-05,0.0006,0.0009,0.0033,128
0.5529,1,True,1,True,False,False,RePU,500,0.0008,2e-05,0.0006,0.0009,0.0033,128
0.5568,1,True,1,True,False,False,RePU,500,0.0008,3e-05,0.0006,0.0009,0.0033,128
0.5483,1,True,1,True,False,False,RePU,500,0.0008,9e-05,0.0006,0.0009,0.0033,128
0.5541,1,True,1,True,False,False,RePU,500,0.0008,0.0001,0.0006,0.0009,0.0033,128
.5559,1,True,1,True,False,False,RePU,500,0.0008,8e-05,0.0006,0.0009,0.0033,128
0.5582,1,True,1,True,False,False,RePU,500,0.0008,5e-05,0.0006,0.0009,0.0033,128
0.5478,1,True,1,True,False,False,RePU,500,0.0008,7e-05,0.0006,0.0009,0.0033,128
0.5476,1,True,1,True,False,False,RePU,500,0.0008,3e-05,0.0006,0.0009,0.0033,128
0.5489,1,True,1,True,False,False,RePU,500,0.0008,1e-05,0.0006,0.0009,0.0033,128
0.5559,1,True,1,True,False,False,RePU,500,0.0008,2e-05,0.0006,0.0009,0.0033,128
0.5606,1,True,1,True,False,False,RePU,500,0.0008,4e-05,0.0006,0.0009,0.0033,128
0.5541,1,True,1,True,False,False,RePU,500,0.0008,9e-05,0.0006,0.0009,0.0033,128
0.5564,1,True,1,True,False,False,RePU,500,0.0008,9e-05,0.0006,0.0009,0.0033,128
0.5554,1,True,1,True,False,False,RePU,500,0.0008,5e-05,0.0006,0.0009,0.0033,128
0.5637,1,True,1,True,False,False,RePU,500,0.0008,8e-05,0.0006,0.0009,0.0033,128
0.5675,1,True,1,True,False,False,RePU,500,0.0008,7e-05,0.0006,0.0009,0.0033,128
0.5601,1,True,1,True,False,False,RePU,500,0.0008,4e-05,0.0006,0.0009,0.0033,128
0.549,1,True,1,True,False,False,RePU,500,0.0008,1e-05,0.0006,0.0009,0.0033,128
0.5477,1,True,1,True,False,False,RePU,500,0.0008,2e-05,0.0006,0.0009,0.0033,128
0.5533,1,True,1,True,False,False,RePU,500,0.0008,3e-05,0.0006,0.0009,0.0033,128
0.5553,1,True,1,True,False,False,RePU,500,0.0008,0.0001,0.0006,0.0009,0.0033,128
0.5574,1,True,1,True,False,False,RePU,500,0.0008,0.0001,0.0006,0.0009,0.0033,128
.5512,1,True,1,True,False,False,RePU,500,0.0008,7e-05,0.0006,0.0009,0.0033,128
0.5532,1,True,1,True,False,False,RePU,500,0.0008,8e-05,0.0006,0.0009,0.0033,128
0.5597,1,True,1,True,False,False,RePU,500,0.0008,5e-05,0.0006,0.0009,0.0033,128
0.5487,1,True,1,True,False,False,RePU,500,0.0008,3e-05,0.0006,0.0009,0.0033,128
0.5573,1,True,1,True,False,False,RePU,500,0.0008,4e-05,0.0006,0.0009,0.0033,128
0.5523,1,True,1,True,False,False,RePU,500,0.0008,2e-05,0.0006,0.0009,0.0033,128
0.5504,1,True,1,True,False,False,RePU,500,0.0008,1e-05,0.0006,0.0009,0.0033,128
0.5613,1,True,1,True,False,False,RePU,500,0.0008,9e-05,0.0006,0.0009,0.0033,128
0.5525,1,True,1,True,False,False,RePU,500,0.0008,9e-05,0.0006,0.0009,0.0033,128
0.5536,1,True,1,True,False,False,RePU,500,0.0008,0.0001,0.0006,0.0009,0.0033,128
0.5481,1,True,1,True,False,False,RePU,500,0.0008,1e-05,0.0006,0.0009,0.0033,128
0.5641,1,True,1,True,False,False,RePU,500,0.0008,2e-05,0.0006,0.0009,0.0033,128
0.56,1,True,1,True,False,False,RePU,500,0.0008,4e-05,0.0006,0.0009,0.0033,128
0.561,1,True,1,True,False,False,RePU,500,0.0008,3e-05,0.0006,0.0009,0.0033,128
0.5579,1,True,1,True,False,False,RePU,500,0.0008,7e-05,0.0006,0.0009,0.0033,128
0.5536,1,True,1,True,False,False,RePU,500,0.0008,5e-05,0.0006,0.0009,0.0033,128
0.5565,1,True,1,True,False,False,RePU,500,0.0008,6e-05,0.0006,0.0009,0.0033,128
0.5565,1,True,1,True,False,False,RePU,500,0.0008,8e-05,0.0006,0.0009,0.0033,128
